NO_OF_FRAMES	5975
NO_OF_CAMERAS	9
NO_OF_BODIES	1
FREQUENCY	50
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2023-11-15, 18:29:58	28922.40665050
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
New Body #1 X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1031.06404	-613.09273	378.12541	0.01433	0.03802	90.01982	0.17214	-0.00035	1.00000	0.00025	-1.00000	-0.00035	0.00066	0.00066	-0.00025	1.00000	
1031.78224	-612.85591	378.34161	0.01050	0.03235	90.03720	0.17699	-0.00065	1.00000	0.00018	-1.00000	-0.00065	0.00056	0.00056	-0.00018	1.00000	
1031.39373	-612.82613	377.56893	0.02877	0.03314	90.02737	0.13690	-0.00048	1.00000	0.00050	-1.00000	-0.00048	0.00058	0.00058	-0.00050	1.00000	
1031.44563	-612.66216	377.18803	0.03500	0.04400	90.03258	0.15877	-0.00057	1.00000	0.00061	-1.00000	-0.00057	0.00077	0.00077	-0.00061	1.00000	
1031.47705	-612.66503	377.20769	0.03546	0.03720	90.03130	0.17665	-0.00055	1.00000	0.00062	-1.00000	-0.00055	0.00065	0.00065	-0.00062	1.00000	
1031.40010	-612.67422	377.32894	0.03547	0.02948	90.02848	0.14636	-0.00050	1.00000	0.00062	-1.00000	-0.00050	0.00051	0.00051	-0.00062	1.00000	
1031.28246	-612.78610	377.63857	0.03039	0.01833	90.02161	0.14730	-0.00038	1.00000	0.00053	-1.00000	-0.00038	0.00032	0.00032	-0.00053	1.00000	
1031.04275	-612.79200	377.51821	0.03457	0.01603	90.01627	0.14992	-0.00028	1.00000	0.00060	-1.00000	-0.00028	0.00028	0.00028	-0.00060	1.00000	
1031.41862	-612.54367	376.88091	0.04779	0.02522	90.02724	0.14938	-0.00048	1.00000	0.00083	-1.00000	-0.00048	0.00044	0.00044	-0.00083	1.00000	
1031.47609	-612.52942	377.09260	0.03979	0.03507	90.03242	0.13541	-0.00057	1.00000	0.00069	-1.00000	-0.00057	0.00061	0.00061	-0.00069	1.00000	
1030.69150	-612.89495	377.61034	0.03018	0.02580	90.01026	0.11670	-0.00018	1.00000	0.00053	-1.00000	-0.00018	0.00045	0.00045	-0.00053	1.00000	
1031.16670	-612.68884	377.40295	0.02869	0.04555	90.02782	0.16064	-0.00049	1.00000	0.00050	-1.00000	-0.00049	0.00079	0.00079	-0.00050	1.00000	
1031.47194	-612.51101	377.23735	0.03214	0.04775	90.03621	0.16177	-0.00063	1.00000	0.00056	-1.00000	-0.00063	0.00083	0.00083	-0.00056	1.00000	
1031.05041	-612.73266	377.33802	0.03293	0.03637	90.02326	0.15896	-0.00041	1.00000	0.00057	-1.00000	-0.00041	0.00063	0.00063	-0.00057	1.00000	
1030.72970	-612.84871	377.56092	0.02684	0.03625	90.01563	0.18644	-0.00027	1.00000	0.00047	-1.00000	-0.00027	0.00063	0.00063	-0.00047	1.00000	
1031.14445	-612.65506	377.17349	0.03508	0.03929	90.02573	0.20471	-0.00045	1.00000	0.00061	-1.00000	-0.00045	0.00069	0.00069	-0.00061	1.00000	
1031.36931	-612.57178	377.14925	0.03444	0.04017	90.03273	0.23399	-0.00057	1.00000	0.00060	-1.00000	-0.00057	0.00070	0.00070	-0.00060	1.00000	
1030.67111	-612.80656	377.18423	0.03073	0.04870	90.01678	0.20017	-0.00029	1.00000	0.00054	-1.00000	-0.00029	0.00085	0.00085	-0.00054	1.00000	
1031.54309	-612.44177	376.87329	0.03768	0.04855	90.03889	0.22302	-0.00068	1.00000	0.00066	-1.00000	-0.00068	0.00085	0.00085	-0.00066	1.00000	
1031.43985	-612.48585	376.73567	0.03893	0.04674	90.03651	0.21295	-0.00064	1.00000	0.00068	-1.00000	-0.00064	0.00082	0.00082	-0.00068	1.00000	
1032.09894	-612.34277	377.01335	0.03531	0.03973	90.05064	0.21382	-0.00088	1.00000	0.00062	-1.00000	-0.00088	0.00069	0.00069	-0.00062	1.00000	
1031.47212	-612.50721	376.93623	0.03548	0.04783	90.03763	0.21453	-0.00066	1.00000	0.00062	-1.00000	-0.00066	0.00083	0.00083	-0.00062	1.00000	
